Location,State,Region
SAJAN,MAHARASHTRA,WEST INDIA 
SALEM,TAMIL NADU,SOUTH INDIA 
SAPUTARA,GUJARAT,WEST INDIA 
SASAN GIR,GUJARAT,WEST INDIA 
SATTAL,UTTARANCHAL,NORTH INDIA
SAWAI MADHOPUR,RAJASTHAN,WEST INDIA
SAWANTWADI,MAHARASHTRA,WEST INDIA
SECUNDERABAD,ANDHRA PRADESH,SOUTH INDIA
SHILLONG,MEGHALAYA,EAST INDIA
SHIMLA,HIMACHAL PRADESH,NORTH INDIA
SHIMLIPAL,ORISSA,EAST INDIA
SHIRDI,MAHARASHTRA,WEST INDIA
SHARAVANBELGOLA,KARNATAKA,SOUTH INDIA
SHIVANASAMUDRA,KARNATAKA,SOUTH INDIA
SIANA,RAJASTHAN,WEST INDIA
SILIGURI,WEST BENGAL,EAST INDIA
SILVASSA,UNION TERRITORY OF DADRA & NAGAR HAVELI,WEST INDIA
SIVAGANGA DISTRICT,TAMIL NADU,SOUTH INDIA
SOLAN,HIMACHAL PRADESH,NORTH INDIA
SONAULI,UTTAR PRADESH,NORTH INDIA
SRINAGAR,JAMMU & KASHMIR,NORTH INDIA
SUNDERBAN,WEST BENGAL,EAST INDIA
SURAT,GUJARAT,WEST INDIA
TANJORE,TAMIL NADU,SOUTH INDIA
TAPOLA,MAHARASHTRA,WEST INDIA
TARAPITH,WEST BENGAL,EAST INDIA
THANE,MAHARASHTRA,WEST INDIA
THEKKADY,KERALA,SOUTH INDIA
THIRVANNAMALAI,TAMIL NADU,SOUTH INDIA
THIRUVANANTHAPURAM,KERALA,SOUTH INDIA
TIRUCHIRAPALLI,TAMIL NADU,SOUTH INDIA
TIRUPUR,TAMIL NADU,SOUTH INDIA
TIRUPATI,ANDHRA PRADESH,SOUTH INDIA
THRISSUR,KERALA,SOUTH INDIA
UDAIPUR,RAJASTHAN,WEST INDIA
UDHAMPUR,JAMMU & KASHMIR,NORTH INDIA
UDUPI,KARNATAKA,SOUTH INDIA
UJJAIN,MADHYA PRADESH,CENTRAL INDIA
UTTARKASHI,UTTARANCHAL,NORTH INDIA
VADODARA,GUJARAT,WEST INDIA
VAGAMON,KERALA,SOUTH INDIA
VARKALA,KERALA,SOUTH INDIA
VAPI,GUJARAT,WEST INDIA
VARANASI,UTTAR PRADESH,NORTH INDIA
VELANKANNI,TAMIL NADU,SOUTH INDIA
VELLORE,TAMIL NADU,SOUTH INDIA
VERAVAL,MAHARASHTRA,WEST INDIA
VIJAYAWADA,ANDHRA PRADESH,SOUTH INDIA
VIKRAMGADH,MAHARASHTRA,WEST INDIA
VISHAKAPATNAM,ANDHRA PRADESH,SOUTH INDIA
WAYANAD,KERALA,SOUTH INDIA
WANKANER,GUJARAT,WEST INDIA
YAMUNOTRI,UTTARANCHAL,NORTH INDIA
YERCAUD,TAMIL NADU,SOUTH INDIA
YUKSOM,SIKKIM,NORTH EAST INDIA
